param_type,sim_id,coverage_95,coverage_90
abc,217,0.9666666666666667,0.9666666666666667
lstm,217,0.6,0.5
abc,218,0.9666666666666667,0.9666666666666667
lstm,218,0.9833333333333333,0.9666666666666667
abc,219,0.9,0.9
lstm,219,0.48333333333333334,0.48333333333333334
abc,220,0.13333333333333333,0.1
lstm,220,0.85,0.85
abc,221,0.95,0.95
lstm,221,0.6166666666666667,0.5666666666666667
abc,222,0.95,0.95
lstm,222,0.8833333333333333,0.8833333333333333
abc,223,0.9666666666666667,0.9666666666666667
lstm,223,0.43333333333333335,0.4166666666666667
abc,224,0.9833333333333333,0.9833333333333333
lstm,224,1,1
abc,225,0.6833333333333333,0.6666666666666666
lstm,225,0.2833333333333333,0.2833333333333333
abc,226,0.95,0.95
lstm,226,0.7333333333333333,0.7166666666666667
abc,227,0.95,0.95
lstm,227,0.9666666666666667,0.9666666666666667
abc,228,0.31666666666666665,0.31666666666666665
lstm,228,1,1
abc,229,0.9666666666666667,0.9666666666666667
lstm,229,0.9666666666666667,0.9666666666666667
abc,230,0.9166666666666666,0.9166666666666666
lstm,230,0.85,0.85
abc,231,0.18333333333333332,0.18333333333333332
lstm,231,0.85,0.85
abc,232,0.85,0.85
lstm,232,0.5833333333333334,0.5833333333333334
abc,233,0.9333333333333333,0.9333333333333333
lstm,233,0.9166666666666666,0.9166666666666666
abc,234,0.9333333333333333,0.9333333333333333
lstm,234,0.4666666666666667,0.4166666666666667
abc,235,0.9833333333333333,0.9833333333333333
lstm,235,0.9833333333333333,0.9833333333333333
abc,236,1,1
lstm,236,0.9833333333333333,0.9833333333333333
abc,237,0.95,0.95
lstm,237,0.9833333333333333,0.9833333333333333
abc,238,0.9666666666666667,0.9666666666666667
lstm,238,0.8666666666666667,0.8333333333333334
abc,239,0.9666666666666667,0.9666666666666667
lstm,239,0.6,0.55
abc,240,0.9333333333333333,0.9333333333333333
lstm,240,0.8166666666666667,0.8
abc,241,1,1
lstm,241,0.9333333333333333,0.9333333333333333
abc,242,0.95,0.95
lstm,242,0.95,0.95
abc,243,0.16666666666666666,0.15
lstm,243,0.5833333333333334,0.5166666666666667
abc,244,1,1
lstm,244,0.9833333333333333,0.9833333333333333
abc,245,0.95,0.95
lstm,245,0.9,0.9
abc,246,0.85,0.8166666666666667
lstm,246,0.9,0.9
abc,247,0.8333333333333334,0.8166666666666667
lstm,247,0.6833333333333333,0.6833333333333333
abc,248,1,1
lstm,248,0.9833333333333333,0.9833333333333333
abc,249,0.8666666666666667,0.8666666666666667
lstm,249,0.9333333333333333,0.9333333333333333
abc,250,0.95,0.95
lstm,250,0.6166666666666667,0.6
abc,251,0.43333333333333335,0.43333333333333335
lstm,251,1,1
